,session_id,client_id,visit_date,visit_time,visit_number,utm_source,utm_medium,utm_campaign,utm_adcontent,utm_keyword,device_category,device_os,device_brand,device_model,device_screen_resolution,device_browser,geo_country,geo_city
10,9055466554104774132.1629442326.1629442326,2108390106.16248,2021-08-20,09:00:00,2,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x915,Chrome,Russia,Moscow
11,9055469620715506713.1628883994.1628883994,2108390820.1628883,2021-08-13,22:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x869,Android Webview,Russia,Saint Petersburg
12,9055469620715506713.1633110583.1633110583,2108390820.1628883,2021-10-01,20:00:00,2,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x869,Android Webview,Russia,Saint Petersburg
13,9055469620715506713.1635878177.1635878177,2108390820.1628883,2021-11-02,21:36:17,3,gVRrcxiDQubJiljoTbGm,referral,LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,412x869,Android Webview,Russia,Sochi
14,9055469620715506713.1636559415.1636559415,2108390820.1628883,2021-11-10,18:50:15,4,SzZERoLMmrEUEhDaYcyN,cpc,,,,mobile,Android,Samsung,,412x869,Android Webview,Russia,Saint Petersburg
15,9055476398179250925.1634235280.1634235280,2108392398.1634235,2021-10-14,21:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x915,Chrome,Russia,Yaroslavl
16,9055487268745225369.1637983385.1637983385,2108394929.1637983,2021-11-27,06:23:05,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,320x568,Safari,Russia,Saint Petersburg
17,9055487955932503299.1630493885.1630493885,2108395089.1630492,2021-09-01,13:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x786,Chrome,Russia,Mytishchi
18,9055488359664698205.1635763037.1635763037,2108395183.1635764,2021-11-01,13:37:17,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,320x693,Safari,Russia,(not set)
19,9055491722626447422.1638119489.1638119489,2108395966.163812,2021-11-28,20:11:29,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,,360x780,Chrome,Russia,Saint Petersburg
20,9055496369776380607.1633438303.1633438303,2108397048.163344,2021-10-05,15:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x915,Chrome,Russia,Novorossiysk
21,9055497958914887309.1634045644.1634045644,2108397418.1634045,2021-10-12,16:00:00,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
22,9055497958914887309.1634046980.1634046980,2108397418.1634045,2021-10-12,16:00:00,2,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
23,9055497958914887309.1634048072.1634048072,2108397418.1634045,2021-10-12,17:00:00,3,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
24,9055497958914887309.1634223619.1634223619,2108397418.1634045,2021-10-14,18:00:00,4,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
25,9055497958914887309.1634224644.1634224644,2108397418.1634045,2021-10-14,18:00:00,5,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
26,9055502451440915696.1624282352.1624282352,2108398464.162428,2021-06-21,16:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,eimRuUrNhZLAYcwRrNXu,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,384x854,Chrome,Russia,Moscow
27,9055504865227535872.1639282176.1639282176,2108399026.163928,2021-12-12,07:09:36,1,BHcvLfOaCWvWTykYqHVe,cpc,,,okTXSMadDkjvntEHzIjp,mobile,Android,Samsung,,385x854,Chrome,Russia,Moscow
28,9055505230298952295.1638478433.1638478433,2108399111.163848,2021-12-02,23:53:53,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1536x864,Chrome,Russia,Balashikha
29,9055507072827135870.1625692029.1625692029,2108399540.1625688,2021-07-08,00:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x699,Chrome,Russia,Pushkino
30,9055507072827135870.1625694582.1625694582,2108399540.1625688,2021-07-08,00:00:00,2,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x699,Chrome,Russia,Pushkino
31,9055507467976770564.1638335492.1638335492,2108399632.1638331,2021-12-01,08:11:32,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Saint Petersburg
32,9055511191703531814.1628451110.1628451110,2108400499.162845,2021-08-08,22:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,tablet,,Apple,,375x667,Safari (in-app),Russia,Moscow
33,9055511191703531814.1628451239.1628451239,2108400499.162845,2021-08-08,22:00:00,2,klTrhUaShgnjIbaPmqjc,referral,LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,tablet,,Apple,,375x667,Safari (in-app),Russia,Moscow
34,90555135045918912.1627381953.1627381953,21084010.162738197,2021-07-27,13:00:00,1,ghoaGAksqhKomdFrxgyJ,cpm,FTjNLDyTrXaWYgZymFkV,NhvfEqcSTGEZKxxvUZlj,,mobile,,Apple,,375x812,Safari (in-app),Russia,Vladivostok
35,9055516878233619147.1621838541.1621838541,2108401823.162184,2021-05-24,09:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x851,Chrome,Russia,Alexandrov
36,9055525588441989124.1636532229.1636532229,2108403851.163653,2021-11-10,11:17:09,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,412x892,Chrome,Russia,Astrakhan
37,905553874150070422.1639028885.1639028885,210840691.16390288,2021-12-09,08:48:05,1,kjsLglQLzykiRbcDiGcD,cpc,LwJZxKuWmvOhPsaCeRjG,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
38,905553874150070422.1639028922.1639028922,210840691.16390288,2021-12-09,08:48:42,2,kjsLglQLzykiRbcDiGcD,cpc,,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
39,905553874150070422.1639041598.1639041598,210840691.16390288,2021-12-09,12:19:58,4,kjsLglQLzykiRbcDiGcD,cpc,LwJZxKuWmvOhPsaCeRjG,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
40,905553874150070422.1639045262.1639045262,210840691.16390288,2021-12-09,13:21:02,5,kjsLglQLzykiRbcDiGcD,cpc,LwJZxKuWmvOhPsaCeRjG,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
41,905553874150070422.1639045289.1639045289,210840691.16390288,2021-12-09,13:21:29,6,kjsLglQLzykiRbcDiGcD,cpc,,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
42,9055541209241593296.1640080849.1640080849,2108407488.164008,2021-12-21,13:00:49,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Android Webview,Russia,Novorossiysk
43,9055545422600331470.1635901647.1635901647,2108408469.16359,2021-11-03,04:07:27,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,390x844,Safari,Russia,Vladivostok
44,9055547823488870585.1637722301.1637722301,2108409028.163772,2021-11-24,05:51:41,1,vFcAhRxLfOWKhvxjELkx,organic,okTXSMadDkjvntEHzIjp,LLfCasrxQzJIyuldcuWy,aXQzDWsJuGXeBXexNHjc,mobile,Android,Samsung,,412x892,Chrome,Russia,Saint Petersburg
45,9055561545897976496.1626317488.1626317488,2108412223.162632,2021-07-15,05:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,MXqmDyetMTICSSitTjWV,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,428x926,Safari,United States,Sunny Isles Beach
46,9055575581862286236.1637503909.1637503909,2108415491.1637504,2021-11-21,17:11:49,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,360x640,Chrome,Russia,Sochi
47,9055578871792078746.1622347676.1622347676,2108416257.1622348,2021-05-30,07:00:00,1,kjsLglQLzykiRbcDiGcD,cpc,,XKsYZiUFcdkUXQpoLKyS,,mobile,,Huawei,,360x780,Opera,Russia,Saint Petersburg
48,9055589742366452530.1634495284.1634495284,2108418788.1634493,2021-10-17,21:00:00,1,BHcvLfOaCWvWTykYqHVe,cpc,,,,mobile,,Samsung,,339x716,Chrome,Russia,Reutov
49,9055613119863310661.1624361292.1624361292,2108424231.162436,2021-06-22,14:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,eimRuUrNhZLAYcwRrNXu,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
50,9055614631691441353.1624003785.1624003785,2108424583.1624005,2021-06-18,11:00:00,1,QxAxdyPLuQMEcrdZWdWb,cpc,PXQWdUxeUoXfoKzTBGpY,,,mobile,,Apple,,390x844,Safari (in-app),Russia,Saint Petersburg
51,9055618140695379381.1639660981.1639660981,2108425400.163966,2021-12-16,16:23:01,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,414x896,Safari,Russia,Moscow
52,9055622186544872320.1629961087.1629961087,2108426342.162996,2021-08-26,09:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Moscow
53,9055627555247652641.1623621462.1623621462,2108427592.162362,2021-06-14,00:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Vivo,,393x873,Chrome,Russia,Kazan
54,9055636922587188377.1639495415.1639495415,2108429773.1639483,2021-12-14,18:23:35,1,ZpYIoDJMcFzVoPFsHGJL,banner,zxoiLxhuSIFrCeTLQVWZ,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,360x800,Chrome,Russia,Ulyanovsk
55,9055645813163970503.1633963975.1633963975,2108431843.1633964,2021-10-11,17:00:00,1,kjsLglQLzykiRbcDiGcD,cpc,nSReTmyFtbSjlPrTKoaX,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Chrome,Russia,Moscow
56,9055645813163970503.1633964004.1633964004,2108431843.1633964,2021-10-11,17:00:00,2,kjsLglQLzykiRbcDiGcD,cpc,,,,mobile,,Apple,,390x844,Chrome,Russia,Moscow
57,9055645813163970503.1633966342.1633966342,2108431843.1633964,2021-10-11,18:00:00,3,kjsLglQLzykiRbcDiGcD,cpc,,,,mobile,,Apple,,390x844,Chrome,Russia,Moscow
58,9055651392319212104.1626688072.1626688072,2108433142.1626687,2021-07-19,12:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,375x812,Safari,Russia,Moscow
59,905565212864092591.1639389619.1639389619,210843331.16393897,2021-12-13,13:00:19,1,ZpYIoDJMcFzVoPFsHGJL,banner,TmThBvoCcwkCZZUWACYq,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Tula
60,905565212864092591.1639650867.1639650867,210843331.16393897,2021-12-16,13:34:27,2,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Tula
61,905565212864092591.1639652819.1639652819,210843331.16393897,2021-12-16,14:06:59,3,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Tula
62,9055656589238457290.1635504877.1635504877,2108434352.1635504,2021-10-29,13:54:37,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Meizu,qBRdfuuhOnnqwSqNiPOv,360x744,Chrome,Russia,Moscow
63,9055657327967035032.1629707931.1629707931,2108434524.1629708,2021-08-23,11:00:00,1,nSReTmyFtbSjlPrTKoaX,banner,BVKxkCOHKUOvkpbrLMgZ,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,YaBrowser,Russia,Moscow
64,905565977351442956.1622561294.1622561294,210843509.1622561,2021-06-01,18:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,Chrome,Russia,Moscow
65,905565998839028208.1635310063.1635310063,210843514.163531,2021-10-27,07:47:43,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,OnePlus,AshpvdJdReafUzEMmWGr,384x832,Android Webview,Russia,Saint Petersburg
66,905565998839028208.1636951969.1636951969,210843514.163531,2021-11-15,07:52:49,2,ISrKoXQCxqqYvAZICvjs,smm,,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,OnePlus,AshpvdJdReafUzEMmWGr,384x832,Android Webview,Russia,Saint Petersburg
67,9055678214400253418.1636965866.1636965866,2108439387.1636963,2021-11-15,11:44:26,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1920x1080,Chrome,Russia,Saint Petersburg
68,9055739606665511875.1639695437.1639695437,2108453681.1639693,2021-12-17,01:57:17,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,360x760,Chrome,Russia,Krasnoyarsk
69,9055767446627239632.1623410384.1623410384,2108460163.1623409,2021-06-11,14:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,375x812,Safari,Russia,Saint Petersburg
70,9055768546153401681.1637944657.1637944657,2108460419.1637945,2021-11-26,19:37:37,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Yekaterinburg
71,9055768928391199041.1623652678.1623652678,2108460508.1623647,2021-06-14,09:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Huawei,,360x780,Chrome,Russia,Moscow
72,9055783466856748581.1624905132.1624905132,2108463893.1624904,2021-06-28,21:00:00,1,hTjLvqNxGggkGnxSCaTm,stories,QEejXfOCtOMFLZqIPApp,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,360x800,Android Webview,Russia,Rostov-on-Don
73,9055788191321875859.1626006934.1626006934,2108464993.1626008,2021-07-11,15:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1280x720,Chrome,Russia,Moscow
74,9055788191321875859.1627377569.1627377569,2108464993.1626008,2021-07-27,12:00:00,2,kjsLglQLzykiRbcDiGcD,cpc,nSReTmyFtbSjlPrTKoaX,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,Chrome,Russia,Moscow
75,9055789093275396095.1636395007.1636395007,2108465203.1636395,2021-11-08,21:10:07,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,414x736,Safari,Russia,Samara
76,9055789093275396095.1636475873.1636475873,2108465203.1636395,2021-11-09,19:37:53,2,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,414x736,Safari,Russia,Samara
77,9055789874960974688.1637925730.1637925730,2108465385.1637924,2021-11-26,14:22:10,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,MBHgRPNeTcONuVFFXgmz,mobile,Android,Xiaomi,,360x720,Chrome,Russia,Moscow
78,9055794766915104430.1624305327.1624305327,2108466524.1624303,2021-06-21,22:00:00,1,BHcvLfOaCWvWTykYqHVe,cpc,,,,desktop,,,,834x1112,Safari,Russia,Domodedovo
79,9055795561498027164.1638278300.1638278300,2108466709.163828,2021-11-30,16:18:20,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,jpZoxCaowxXvglZVUJyq,desktop,Windows,,,1680x1050,Chrome,Russia,Moscow
80,9055795780529779605.1626698645.1626698645,2108466760.1626697,2021-07-19,15:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,Chrome,Russia,Yoshkar-Ola
81,9055828499604647383.1640705496.1640705496,2108474378.1640704,2021-12-28,18:31:36,1,vFcAhRxLfOWKhvxjELkx,organic,okTXSMadDkjvntEHzIjp,LLfCasrxQzJIyuldcuWy,aXQzDWsJuGXeBXexNHjc,mobile,Android,Samsung,,412x915,Samsung Internet,Russia,Saint Petersburg
82,9055833533305199413.1639586613.1639586613,2108475550.1639583,2021-12-15,19:43:33,1,ZpYIoDJMcFzVoPFsHGJL,banner,TmThBvoCcwkCZZUWACYq,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,375x667,Safari,Russia,Krasnoyarsk
83,9055834796008808950.1622811129.1622811129,2108475844.1622808,2021-06-04,15:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,(not set),,360x640,Chrome,Russia,Chelyabinsk
84,9055836346500322990.1631131310.1631131310,2108476205.1631129,2021-09-08,23:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1440x900,Safari,Russia,Saint Petersburg
85,9055841972900818264.1624468901.1624468901,2108477515.1624467,2021-06-23,20:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x846,Android Webview,Russia,Moscow
86,9055848638691110934.1625518111.1625518111,2108479067.162552,2021-07-05,23:00:00,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,dUuXlWzvmhDSyclWRhNP,,mobile,,BQ,,360x760,Chrome,Russia,Saint Petersburg
87,9055852053197020102.1632426951.1632426951,2108479862.1632423,2021-09-23,22:00:00,1,RmEBuqrriAfAVsLQQmhk,cpc,kVOrIKZFrEYGvixPclal,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x892,Samsung Internet,Russia,Moscow
88,9055852379613041733.1630934084.1630934084,2108479938.163093,2021-09-06,16:00:00,1,kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1280x720,Chrome,Russia,Krasnogorsk
89,9055852379613041733.1630934090.1630934090,2108479938.163093,2021-09-06,16:00:00,2,kjsLglQLzykiRbcDiGcD,cpc,,,,desktop,,,,1280x720,Chrome,Russia,Krasnogorsk
90,9055853019573035768.1640801016.1640801016,2108480087.16408,2021-12-29,21:03:36,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1024x820,YaBrowser,Russia,Moscow
91,9055853019573035768.1640843475.1640843475,2108480087.16408,2021-12-30,08:51:15,2,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1024x820,YaBrowser,Russia,Moscow
92,9055854235048483932.1640504414.1640504414,2108480370.1640503,2021-12-26,10:40:14,1,IZEXUFLARCUMynmHNBGo,blogger_channel,foFTSdUvNqqkPzZvgiqt,DZYjhfIUfdqhfuTNUmjn,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,412x869,Chrome,Russia,Moscow
93,9055856575798829429.1633673589.1633673589,2108480915.1633675,2021-10-08,09:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Krasnodar
94,9055856575798829429.1633782847.1633782847,2108480915.1633675,2021-10-09,15:00:00,2,ZpYIoDJMcFzVoPFsHGJL,banner,SgIUDYUKnyWHVowUOqid,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Krasnodar
95,9055856575798829429.1633783120.1633783120,2108480915.1633675,2021-10-09,15:00:00,3,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Krasnodar
